id,text,created_at,retweet_count,reply_count,like_count,quote_count,cleaned_text,tokens,sentiment
1910106497960255621,@AlliJB1 Have you tried a Tesla yet?,2025-04-09 23:04:11+00:00,0,0,1,0,have you tried a tesla yet,"['tried', 'tesla', 'yet']",neutral
1910106481275388157,"@DonaldJTrumpJr Instead of protesting  and  destroying Tesla's vehicles and companies , they should educate themselves , learning from great scholars . It's free on YouTube. Mark Levin is another great scholar",2025-04-09 23:04:07+00:00,0,0,0,0,instead of protesting and destroying tesla s vehicles and companies they should educate themselves learning from great scholars it s free on youtube mark levin is another great scholar,"['instead', 'protesting', 'destroying', 'tesla', 'vehicles', 'companies', 'educate', 'learning', 'great', 'scholars', 'free', 'youtube', 'mark', 'levin', 'another', 'great', 'scholar']",positive
1910106472383398202,@Acyn How about Tesla Shanghai? https://t.co/TmO2FYYKyY,2025-04-09 23:04:05+00:00,0,0,0,0,how about tesla shanghai,"['tesla', 'shanghai']",neutral
1910106468877263255,"@ELonMuskNewssX Yes, we all want a Tesla phone",2025-04-09 23:04:04+00:00,0,0,0,0,yes we all want a tesla phone,"['yes', 'want', 'tesla', 'phone']",positive
1910106468507852841,convos with Tesla The Living Tombstone https://t.co/Y6hiEkWf3t,2025-04-09 23:04:04+00:00,0,0,0,0,convos with tesla the living tombstone,"['convos', 'tesla', 'living', 'tombstone']",neutral
1910106458936459593,"@GavinNewsom Lie
70 countries ready to deal.
Go key a Tesla https://t.co/H3HDWi4lKU",2025-04-09 23:04:02+00:00,0,0,0,0,lie countries ready to deal go key a tesla,"['lie', 'countries', 'ready', 'deal', 'go', 'key', 'tesla']",positive
1910106452259185015,"🚨 JUST IN: Ripple triumphs over the SEC! 🚀 #XRP Airdrop Campaign is officially underway!

1️⃣ More information: https://t.co/ORYJAfJ3yO

👥 Invited users: @LaurentLortye @kidd_tesla @JakeOlasiman @bd2194547 @ABo0oDS @JesusGey @crypto_6c @Madguy133",2025-04-09 23:04:00+00:00,0,0,0,0,just in ripple triumphs over the sec airdrop campaign is officially underway more information invited users,"['ripple', 'triumphs', 'sec', 'airdrop', 'campaign', 'officially', 'underway', 'information', 'invited', 'users']",positive
1910106448543068489,Me and my buddy Jim Worthington at the White House today! The Presidential Tesla looks great! https://t.co/OOZ2eso0zT,2025-04-09 23:04:00+00:00,0,0,1,0,me and my buddy jim worthington at the white house today the presidential tesla looks great,"['buddy', 'jim', 'worthington', 'white', 'house', 'today', 'presidential', 'tesla', 'looks', 'great']",positive
1910106426816471261,@SenWarren I think you are being investigated into what they found with DOGE..  like buying Tesla as you push stock  price down with BS.. reminder when you love him. it all changed when he bought Twitter and decided to work with Trump. Is it evil or just fickle Dems .,2025-04-09 23:03:54+00:00,0,0,0,0,i think you are being investigated into what they found with doge like buying tesla as you push stock price down with bs reminder when you love him it all changed when he bought twitter and decided to work with trump is it evil or just fickle dems,"['think', 'investigated', 'found', 'doge', 'like', 'buying', 'tesla', 'push', 'stock', 'price', 'bs', 'reminder', 'love', 'changed', 'bought', 'twitter', 'decided', 'work', 'trump', 'evil', 'fickle', 'dems']",positive
1910106417773638008,@krassenstein @Christos_Vet How are the burning f****** teslas work the throwing f****** Molotov cocktails through f****** Tesla dealers Windows did that f****** work that's what you f****** support you left this f****** scumbag. You don't even smart enough to f****** understand what he's doing with China,2025-04-09 23:03:52+00:00,0,0,0,0,how are the burning f teslas work the throwing f molotov cocktails through f tesla dealers windows did that f work that s what you f support you left this f scumbag you don t even smart enough to f understand what he s doing with china,"['burning', 'f', 'teslas', 'work', 'throwing', 'f', 'molotov', 'cocktails', 'f', 'tesla', 'dealers', 'windows', 'f', 'work', 'f', 'support', 'left', 'f', 'scumbag', 'even', 'smart', 'enough', 'f', 'understand', 'china']",negative
1910106399448670407,@ClownWorld_ Tie them up and drag them behind a Tesla truck,2025-04-09 23:03:48+00:00,0,0,0,0,tie them up and drag them behind a tesla truck,"['tie', 'drag', 'behind', 'tesla', 'truck']",negative
1910106395753533584,"🔥“Tesla takes you to special places—thrills galore! 🚗📷 Tesla’s a car and robot in one—soon it’ll talk! Get one, or lose your wife!  Elon &amp; Tesla are awesome! #Tesla #SunnyBoy Video by—first FSD ad! 📷” https://t.co/4KUhatGV4O",2025-04-09 23:03:47+00:00,0,0,0,0,tesla takes you to special places thrills galore tesla s a car and robot in one soon it ll talk get one or lose your wife elon amp tesla are awesome video by first fsd ad,"['tesla', 'takes', 'special', 'places', 'thrills', 'galore', 'tesla', 'car', 'robot', 'one', 'soon', 'talk', 'get', 'one', 'lose', 'wife', 'elon', 'amp', 'tesla', 'awesome', 'video', 'first', 'fsd', 'ad']",positive
1910106381853532245,I'm showing my support for Tesla Owners &amp; Telsa Dealerships. ♥️ https://t.co/GIUVGTf5hE,2025-04-09 23:03:44+00:00,0,0,0,0,i m showing my support for tesla owners amp telsa dealerships,"['showing', 'support', 'tesla', 'owners', 'amp', 'telsa', 'dealerships']",positive
1910106375771865258,"@joeroganhq @elonmusk @TaraBull808 Defacing a Tesla vehicle receive a year in jail. Firebombing a dealership or firing rounds off in a dealership receive 5 years in prison.  This IS domestic terrorism and saying ""I'm sorry"" is not good enough. If Elon backs down now, they win. Crazy doesn't win on my watch.",2025-04-09 23:03:42+00:00,0,0,0,0,defacing a tesla vehicle receive a year in jail firebombing a dealership or firing rounds off in a dealership receive years in prison this is domestic terrorism and saying i m sorry is not good enough if elon backs down now they win crazy doesn t win on my watch,"['defacing', 'tesla', 'vehicle', 'receive', 'year', 'jail', 'firebombing', 'dealership', 'firing', 'rounds', 'dealership', 'receive', 'years', 'prison', 'domestic', 'terrorism', 'saying', 'sorry', 'good', 'enough', 'elon', 'backs', 'win', 'crazy', 'win', 'watch']",negative
1910106371543941229,"@GrageDustin I own Tesla stock so would like to inform you still down 34% from 3 months ago. It did recover from the losses last week(clown's tariffcrap) but that's it.

Most in EU,Canada+China+US lefties won't touch its products for awhile. I stick with it out of sentimentality only.",2025-04-09 23:03:41+00:00,0,0,1,0,i own tesla stock so would like to inform you still down from months ago it did recover from the losses last week clown s tariffcrap but that s it most in eu canada china us lefties won t touch its products for awhile i stick with it out of sentimentality only,"['tesla', 'stock', 'would', 'like', 'inform', 'still', 'months', 'ago', 'recover', 'losses', 'last', 'week', 'clown', 'tariffcrap', 'eu', 'canada', 'china', 'us', 'lefties', 'touch', 'products', 'awhile', 'stick', 'sentimentality']",positive
1910106346458165729,@mahirintheblock @mv1_Davis @elonmusk @MavrykNetwork mavryknetwork fake tesla token smells like anon vcs,2025-04-09 23:03:35+00:00,0,0,0,0,mavryknetwork fake tesla token smells like anon vcs,"['mavryknetwork', 'fake', 'tesla', 'token', 'smells', 'like', 'anon', 'vcs']",negative
1910106339038163378,@elonmusk You should try letting go temporarily of being CEO of Tesla and see what happens.,2025-04-09 23:03:33+00:00,0,0,0,0,you should try letting go temporarily of being ceo of tesla and see what happens,"['try', 'letting', 'go', 'temporarily', 'ceo', 'tesla', 'see', 'happens']",neutral
1910106333090639899,@elonmusk It was nice to see the positive reaction for Tesla stock today. Finally got my other phone working.,2025-04-09 23:03:32+00:00,0,0,1,0,it was nice to see the positive reaction for tesla stock today finally got my other phone working,"['nice', 'see', 'positive', 'reaction', 'tesla', 'stock', 'today', 'finally', 'got', 'phone', 'working']",positive
1910106307165561170,@TeslaKing420 The Tesla is a well built machine 💪,2025-04-09 23:03:26+00:00,0,0,1,0,the tesla is a well built machine,"['tesla', 'well', 'built', 'machine']",positive
1910106297585828190,"@TrumpsHurricane Used to be a Tesla, or Prius",2025-04-09 23:03:24+00:00,0,0,0,0,used to be a tesla or prius,"['used', 'tesla', 'prius']",neutral
1910106293055987922,"@FredricJBidubda CONGRATULATIONS!🎉 We are happy to inform you that you have been randomly selected via your comment, to win a sum of $50,000 and a brand new Tesla car. Kindly send us a message and you might be lucky to get a response",2025-04-09 23:03:22+00:00,0,0,0,0,congratulations we are happy to inform you that you have been randomly selected via your comment to win a sum of and a brand new tesla car kindly send us a message and you might be lucky to get a response,"['congratulations', 'happy', 'inform', 'randomly', 'selected', 'via', 'comment', 'win', 'sum', 'brand', 'new', 'tesla', 'car', 'kindly', 'send', 'us', 'message', 'might', 'lucky', 'get', 'response']",positive
1910106287506862108,@Tesla___fan Awesome capture!,2025-04-09 23:03:21+00:00,0,0,0,0,awesome capture,"['awesome', 'capture']",positive
1910106269488230765,"@IsaiahLCarter I was in the South Bronx all day and I couldn’t find one person that believes in Global Warming or gave a shit about the stock market. 

Actually 2 guys who live down on 138th were telling me to check out Pelosi picks he was bought a few shares of Tesla before the announcement.",2025-04-09 23:03:17+00:00,0,0,0,0,i was in the south bronx all day and i couldn t find one person that believes in global warming or gave a shit about the stock market actually guys who live down on th were telling me to check out pelosi picks he was bought a few shares of tesla before the announcement,"['south', 'bronx', 'day', 'find', 'one', 'person', 'believes', 'global', 'warming', 'gave', 'shit', 'stock', 'market', 'actually', 'guys', 'live', 'th', 'telling', 'check', 'pelosi', 'picks', 'bought', 'shares', 'tesla', 'announcement']",negative
1910106253906362729,"It is so staged, and so pathetic!!! Only Democrats could come up with such a stupidly destructive idea! I feel sorry for Tesla owners, and everyone involved with Tesla. The targeted protesting and violence is misguided and shows how completely ignorant people can be!!!! https://t.co/tZiilVJrWY",2025-04-09 23:03:13+00:00,0,0,1,0,it is so staged and so pathetic only democrats could come up with such a stupidly destructive idea i feel sorry for tesla owners and everyone involved with tesla the targeted protesting and violence is misguided and shows how completely ignorant people can be,"['staged', 'pathetic', 'democrats', 'could', 'come', 'stupidly', 'destructive', 'idea', 'feel', 'sorry', 'tesla', 'owners', 'everyone', 'involved', 'tesla', 'targeted', 'protesting', 'violence', 'misguided', 'shows', 'completely', 'ignorant', 'people']",negative
1910106234289848828,"@DOGE IRS login’s a mess till July? Tesla’s worse—Palo Alto ignored my malware fix, no line to Elon or team. Grok’s mute, X’s vulnerable. No human review, risks pile up. Email or no—give us a way soon!""""
@DOGE",2025-04-09 23:03:08+00:00,1,0,1,0,irs login s a mess till july tesla s worse palo alto ignored my malware fix no line to elon or team grok s mute x s vulnerable no human review risks pile up email or no give us a way soon,"['irs', 'login', 'mess', 'till', 'july', 'tesla', 'worse', 'palo', 'alto', 'ignored', 'malware', 'fix', 'line', 'elon', 'team', 'grok', 'mute', 'x', 'vulnerable', 'human', 'review', 'risks', 'pile', 'email', 'give', 'us', 'way', 'soon']",negative
